baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,VEC,20250630,1500,219,55,124
20250630,0500,WSD,20250630,1500,3.5,55,124
20250630,0500,SKY,20250630,1500,4,55,124
20250630,0500,PTY,20250630,1500,4,55,124
20250630,0500,POP,20250630,1500,60,55,124
20250630,0500,WAV,20250630,1500,-999,55,124
20250630,0500,PCP,20250630,1500,2.0mm,55,124
20250630,0500,REH,20250630,1500,85,55,124
20250630,0500,SNO,20250630,1500,적설없음,55,124
20250630,0500,TMX,20250630,1500,28.0,55,124
20250630,0500,TMP,20250630,1600,27,55,124
20250630,0500,UUU,20250630,1600,2.6,55,124
20250630,0500,VVV,20250630,1600,2.7,55,124
20250630,0500,VEC,20250630,1600,224,55,124
20250630,0500,WSD,20250630,1600,3.7,55,124
20250630,0500,SKY,20250630,1600,4,55,124
20250630,0500,PTY,20250630,1600,0,55,124
20250630,0500,POP,20250630,1600,30,55,124
20250630,0500,WAV,20250630,1600,-999,55,124
20250630,0500,PCP,20250630,1600,강수없음,55,124
20250630,0500,REH,20250630,1600,80,55,124
20250630,0500,SNO,20250630,1600,적설없음,55,124
20250630,0500,TMP,20250630,1700,27,55,124
20250630,0500,UUU,20250630,1700,2.5,55,124
20250630,0500,VVV,20250630,1700,2.7,55,124
20250630,0500,VEC,20250630,1700,223,55,124
20250630,0500,WSD,20250630,1700,3.7,55,124
20250630,0500,SKY,20250630,1700,4,55,124
20250630,0500,PTY,20250630,1700,0,55,124
20250630,0500,POP,20250630,1700,30,55,124
20250630,0500,WAV,20250630,1700,-999,55,124
20250630,0500,PCP,20250630,1700,강수없음,55,124
20250630,0500,REH,20250630,1700,80,55,124
20250630,0500,SNO,20250630,1700,적설없음,55,124
20250630,0500,TMP,20250630,1800,27,55,124
20250630,0500,UUU,20250630,1800,2.1,55,124
20250630,0500,VVV,20250630,1800,2.5,55,124
20250630,0500,VEC,20250630,1800,220,55,124
20250630,0500,WSD,20250630,1800,3.3,55,124
20250630,0500,SKY,20250630,1800,4,55,124
20250630,0500,PTY,20250630,1800,0,55,124
20250630,0500,POP,20250630,1800,30,55,124
20250630,0500,WAV,20250630,1800,-999,55,124
20250630,0500,PCP,20250630,1800,강수없음,55,124
20250630,0500,REH,20250630,1800,80,55,124
20250630,0500,SNO,20250630,1800,적설없음,55,124
20250630,0500,TMP,20250630,1900,26,55,124
20250630,0500,UUU,20250630,1900,1.3,55,124
20250630,0500,VVV,20250630,1900,2.1,55,124
20250630,0500,VEC,20250630,1900,212,55,124
20250630,0500,WSD,20250630,1900,2.5,55,124
